name,id,tags,rarity,icon,desc,sortOrder,spawnWeight,motion,motionSpeed,restlessness,jitter,difficulty,progressRateMult,escapeRateMult,weightMax,weightMin,lengthMax,lengthMin,baseValue,starColours,constellationAges,minAberration,maxAberration,reachedBy,systemTags,regions,spriteDirection
Abyssal Rockfish,greenbelly_rockfish,"abyssal, fish",EPIC,graphics/catchrelease/fish/greenbelly_rockfish.png,A void carried where the stomach should be. Prolonged observation eventually reveals the other side. Under no circumstances should you wave back.,,3,MIXED,1.7,1.85,1.0,190,0.66,2.2,8.0,0.8,0.8,0.3,6400,,,,,BREACH_LAMP,,ABYSSAL,180
Abyssal Nautilus,alfonzo_nautilus2,"abyssal, mollusc",UNCOMMON,graphics/catchrelease/fish/alfonzo_nautilus2.png,"A chambered shell wound inward, spiralling into itself past the point where there is anywhere left to go. Each chamber holds a little of the abyss it was pulled from and none of them drain.",,8,MIXED,1.6,1.75,2.5,165,0.8,1.55,45.0,6.0,2.0,0.8,3200,,,,,POND,,ABYSSAL,180
Steel Pipechovies,anchovy,fish,COMMON,graphics/catchrelease/fish/anchovy.png,"Arrives in bundles of five or six, each a straight length of dull steel with a mouth at the end. Whatever the ghost copied, it was not swimming at the time.",,16,WEAVER,0.9,0.85,1.0,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,,,CORE_NE,180
Roider Mudfish,asteroid_mudfish,fish,COMMON,graphics/catchrelease/fish/asteroid_mudfish.png,"Bottom-feeder shape, bottom-feeder manner, in a medium with no bottom and no mud. Roider crews swear by them, which says more about roider crews than the fish.",,16,SINKER,0.9,0.85,1.0,45,1.05,0.95,8.0,0.8,0.8,0.3,60,,,,,POND,,RIM_SW,180
Berylcuda,atlantic_cod,fish,COMMON,graphics/catchrelease/fish/atlantic_cod.png,"Green-scaled and hard as its namesake mineral, with a barracuda's jaw grafted onto a food-stock body. Two patterns in one fish, and neither of them finished.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,"RED, BROWN",,,,,,"CORE_NW, RIM_NW",180
Coudplate Tetra,azure_tufflefin,fish,COMMON,graphics/catchrelease/fish/azure_tufflefin.png,"Plated along the back in cloud-shaped scutes, armour against pressures hyperspace has never had. Collectors pay for the ones that came through symmetrical.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"WHITE, YELLOW",,,,,,"CORE_NE, CORE_NW",180
Tiger Sailfish,bannerfish,fish,COMMON,graphics/catchrelease/fish/bannerfish.png,"Trails a dorsal banner longer than the fish, striped like something that meant to be seen. The banner keeps trailing for a moment after the fish has stopped.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"BLUE, WHITE",,,,,,"CORE_NE, RIM_NE",180
Silver Slipstreamer,bar_jack,fish,COMMON,graphics/catchrelease/fish/bar_jack.png,"Silver, and already at speed, holding a heading as though the slipstream it left were still running under it. One of the few that behaves as its shape suggests.",,12,DARTER,1.05,1.1,1.4,60,1.0,1.05,45.0,6.0,2.0,0.8,60,,,0.25,,,,"CORE_NE, CORE_SE",180
Green Bass,bass,fish,COMMON,graphics/catchrelease/fish/bass.png,"Green, blunt, and obliging. A shape with nothing stronger to settle into settles into a bass, and some survey outfits have stopped recording them at all.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,0.3,,,"CORE_SE, RIM_SE",180
Jungle Snapper,bluegill,fish,COMMON,graphics/catchrelease/fish/bluegill.png,"Small, deep-bodied and marked in reds and greens like something raised under a canopy. There is no canopy in hyperspace and the pattern does not appear to know it.",,16,TWITCHER,0.9,0.85,1.0,45,1.05,0.95,1.2,0.1,0.35,0.12,60,,YOUNG,,,,,"RIM_NE, RIM_NW",180
Blue Ochtogon Magifin,blue_ochtogon_magifin,fish,RARE,graphics/catchrelease/fish/blue_ochtogon_magifin.png,"Eight fins around a body plated in flat panels, too regular to be chance and lit along every seam. It is not built like an animal and does not move like one.",,5,MIXED,1.4,1.5,1.0,115,0.9,1.25,1.2,0.1,0.35,0.12,700,,,,,,theme_remnant,"RIM_NE, RIM_SE",180
Blue Tang,blue_tang,fish,COMMON,graphics/catchrelease/fish/blue_tang.png,"An untroubled blue that holds longer than most colours manage - the shape appears to suit whatever has assumed it. Reef stock, from reefs centuries under.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,OLD,,,,,"CORE_NW, RIM_NW",180
Soul Bream,bream,fish,UNCOMMON,graphics/catchrelease/fish/bream.png,"Broad, plain, and quiet, and the crews who bring them in will not say how the name came about. Something in a bream reads as occupied rather than alive.",,8,MIXED,1.4,1.3,1.0,85,0.95,1.15,1.2,0.1,0.35,0.12,220,,OLD,0.25,,,,"RIM_SE, RIM_SW",180
Venomous Sailfish,butterflyfish,fish,COMMON,graphics/catchrelease/fish/butterflyfish.png,"Sail-finned and patterned to warn rather than to hide, which turns out to be honest advertising. A week in the medbay for anyone who tests the claim.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"ORANGE, YELLOW",,,,,,"CORE_NE, CORE_NW",180
Ole' Carp,carp_boring,fish,COMMON,graphics/catchrelease/fish/carp_boring.png,"Grey, slow, and uninterested in resisting anything at all. Every ship of any age has one in the logs and not one crew remembers acquiring it.",,16,SMOOTH,0.9,0.85,0.5,45,1.05,0.95,1.2,0.1,0.35,0.12,60,,,,0.5,,,CORE_SW,180
Credfish,carp_silver,fish,COMMON,graphics/catchrelease/fish/carp_silver.png,"Flat, hard-edged, and stamped along the flank with a figure the eye keeps trying to read as a denomination. Not legal tender in any port. This has stopped nobody.",,12,MIXED,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,AVERAGE,,,,,"CORE_NW, CORE_SW",180
Long Waller,catfish,fish,COMMON,graphics/catchrelease/fish/catfish.png,"Two metres of whiskered patience, feeling along a riverbed that is not there and never was. Crews find it endearing or unbearable, with no ground in between.",,12,SINKER,1.05,1.1,1.0,60,1.0,1.05,45.0,6.0,2.0,0.8,60,,,,,POND,,"CORE_SE, CORE_SW",180
Shimmerclam,clam,mollusc,COMMON,graphics/catchrelease/fish/clam.png,"Shut on arrival and shut since, against every tool rated for the job. The shell runs through colours it carries no pigment for.",,16,SINKER,0.9,0.85,0.2,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,POND,,CORE_NW,90
Corona Moth,corona_moth,other,RARE,graphics/catchrelease/fish/butterflyfish.png,"Broad-winged and ash-grey, wings angled to catch a light that does not reach this side. Near a star the angle is exact, and it holds through handling.",,5,FLOATER,1.4,1.5,0.5,115,0.9,1.25,6.0,1.0,1.1,0.4,700,"YELLOW, ORANGE",,,0.6,,,"CORE_SW, RIM_SW",90
Common Crag Crab,crab,crab,COMMON,graphics/catchrelease/fish/crab.png,"Comes up sideways and keeps going sideways across the deck until stopped. Ten legs, which is correct, and no comfort at all.",,16,SINKER,0.9,0.85,0.7,45,1.05,0.95,1.2,0.1,0.35,0.12,60,"RED, ORANGE",,,,,,"CORE_NE, RIM_NE",90
Volturnian Crab,crab_blue,crab,COMMON,graphics/catchrelease/fish/crab_blue.png,"Blue through the shell rather than on it, and the closest thing to Volturn's own stock that hyperspace has ever handed over. Worth landing carefully.",,12,SINKER,1.05,1.1,0.7,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,,,POND,,CORE_NW,90
Adolescent Pyrcrab,crab_fat,crab,COMMON,graphics/catchrelease/fish/crab_fat.png,"Low, broad, and slow to commit to anything, which makes it one of the easier ones to have aboard. It runs warm to the touch, and warmer the longer it is held.",,16,TWITCHER,0.9,0.85,0.7,45,1.05,0.95,8.0,0.8,0.8,0.3,60,"RED, ORANGE",,,,,,"CORE_SE, RIM_SE",90
Adult Pyrcrab,crab_weird,crab,UNCOMMON,graphics/catchrelease/fish/crab_weird.png,"Full-grown, and hot enough to raise blisters through a work glove. Every rating describes a different fault in it, and each is sure the others are wrong.",,8,SINKER,1.4,1.3,0.7,85,0.95,1.15,8.0,0.8,0.8,0.3,220,BLUE,,,,,,"CORE_NW, RIM_NW",90
Cutout,cutout,other,EPIC,graphics/catchrelease/fish/bass.png,"A fish-shaped absence, visible where it overlaps something else and otherwise not. The tank shows the water it displaces. Feeding it is considered polite.",,3,MIXED,1.5,1.6,0.35,140,0.85,1.4,4.0,0.5,1.5,0.6,2400,"NEUTRON, BLACK_HOLE",,,,,,,90
Eelcat,eel_catfish,fish,COMMON,graphics/catchrelease/fish/eel_catfish.png,"Long, whiskered, and inclined to knot itself around whatever is nearest. The knots are not knots on inspection, but no better word has been offered.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,,POND,,RIM_NE,180
Egg,egg,other,RARE,graphics/catchrelease/fish/egg.png,"Hyperspace does not spawn, so this is a shape with no process behind it. It has never hatched, and standing orders are not to wait around and find out.",,5,LUNGER,1.4,1.5,0.15,115,0.9,1.25,0.15,0.01,0.12,0.03,700,,,0.35,,BREACH_LAMP,,"CORE_SW, RIM_NW, RIM_SW",90
False Dawn,false_dawn,"other, special",LEGENDARY,graphics/catchrelease/fish/jellyfish_cyan.png,"A light in deep fabric that survey plots as a faint star with steady parallax. It is neither faint nor far, and it comes to the lamps. The cabin lighting runs a little behind itself while one is on the line.",,1,MIXED,1.7,1.9,0.3,195,0.6,2.7,120.0,20.0,2.5,1.0,9000,,,0.5,,BREACH_LAMP,,"CORE_SW, RIM_SW",90
Freight Clam,freight_clam,mollusc,UNCOMMON,graphics/catchrelease/fish/clam.png,"A quarter-container in proportion and stencilling, hinged where a container is welded. The routing code checks out, and the destination port takes delivery without comment.",,8,SINKER,1.4,1.3,0.25,85,0.95,1.15,160.0,40.0,2.0,0.9,220,,,,0.4,POND,,"CORE_NW, RIM_NW",90
Bloody Damsel,garibaldi_damselfish,fish,UNCOMMON,graphics/catchrelease/fish/garibaldi_damselfish.png,"An orange so aggressive it reads as a warning light, and territorial about a territory that does not exist. Squares up to the drones the whole way in.",,8,LUNGER,1.4,1.3,1.7,85,0.95,1.15,1.2,0.1,0.35,0.12,220,ORANGE,,,,,,"CORE_NW, CORE_SW",180
Goldfish,goldfish,fish,COMMON,graphics/catchrelease/fish/goldfish.png,"Ornamental, inedible, and entirely without fight, turning up on ships whose crews have been thinking about home. Good luck to some crews and a wasted cast to the rest.",,16,TWITCHER,0.9,0.85,1.0,45,1.05,0.95,1.2,0.1,0.35,0.12,60,"YELLOW, WHITE",,,,,,"CORE_NE, CORE_NW",180
Bluefin Theta,gourami,fish,COMMON,graphics/catchrelease/fish/gourami.png,"Rises for air in a medium that has none, over and over, at the surface of nothing at all. The blue along the fin is the only part of it that ever holds still.",,12,FLOATER,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,,POND,,"CORE_NW, RIM_NW",180
Adolescent Razorspine,hatchetfish,fish,COMMON,graphics/catchrelease/fish/hatchetfish.png,"Thin as a blade and hard as steel, yet moving as if made of flesh. Grips perfectly, throws steady, has claimed more than one life in ill-advised bets.",,12,DARTER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,,,,,CORE_SW,180
Hull Grazer,hull_grazer,fish,RARE,graphics/catchrelease/fish/lober_default.png,"Plated in overlapping armour the colour of old wrecks, worn bright at the edges. Specimens taken near debris fields carry fresh scratches on the inside of the plate.",,5,SINKER,1.4,1.5,0.3,115,0.9,1.25,90.0,25.0,2.2,1.0,700,,,,0.6,,theme_derelict,"CORE_NE, RIM_NE",90
Silver Razorspine,iron_hatchetfish,fish,UNCOMMON,graphics/catchrelease/fish/iron_hatchetfish.png,"Grown out, with a thick plate of patterned steel protecting a leathery underside. Heavy enough to deform gear rated well above it. The metal carries crude forge-marks.",,8,DARTER,1.4,1.3,1.0,85,0.95,1.15,8.0,0.8,0.8,0.3,220,"BLUE, WHITE",,,,,,"RIM_NE, RIM_SE",180
Lunacyte,jellyfish_cyan,mollusc,UNCOMMON,graphics/catchrelease/fish/jellyfish_cyan.png,"Pale and unhurried, lit from within on a cycle that matches nothing aboard. Named by a crew that watched one for a full shift, and would not afterwards explain the name.",,8,FLOATER,1.4,1.3,0.4,85,0.95,1.15,1.2,0.1,0.35,0.12,220,"BROWN, RED",,,,,,"RIM_SE, RIM_SW",90
Poison Jelly,jellyfish_green,mollusc,COMMON,graphics/catchrelease/fish/jellyfish_green.png,"Trails filaments far longer than the bell could support, and goes on trailing them after the bell has stopped. It stings for hours, and longer than that in the memory.",,12,FLOATER,1.05,1.1,0.4,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,,,,,RIM_NW,90
Aetherial Jelly,jellyfish_purple,mollusc,COMMON,graphics/catchrelease/fish/jellyfish_purple.png,"Barely present and barely holding, a shape more suggested than built. Handled roughly it comes apart, and the pieces do not stay pieces for long.",,12,FLOATER,1.05,1.1,0.4,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,,,BREACH_LAMP,,"RIM_NW, RIM_SW",90
Keystone,keystone,other,RARE,graphics/catchrelease/fish/vulcan_2.png,"Machined faces, clean tool marks, and a part number that appears in no catalogue anyone can reach. It swims poorly, which is to say it swims.",,5,SINKER,1.4,1.5,0.2,115,0.9,1.25,120.0,30.0,1.8,0.8,700,,,,0.4,,"theme_ruins, theme_remnant","CORE_NW, CORE_SW, RIM_NW, RIM_SW",90
Lantern Jack,lantern_jack,"fish, special",LEGENDARY,graphics/catchrelease/fish/marlin.png,"An angler's build at hauler scale, and the lure is a distress beacon on the standard band. The signal is well-formed, decades stale, and stronger the closer the boat comes. Standing orders are to mark the position and keep the comms shut.",,1,MIXED,1.7,1.9,0.6,195,0.6,2.7,500.0,80.0,6.0,2.5,9000,,,0.5,,BREACH_LAMP,,"CORE_NE, RIM_NE",90
Mossy Bass,largemouth_bass,fish,COMMON,graphics/catchrelease/fish/largemouth_bass.png,"Furred green along the back with something that is not moss, in a place with nothing for moss to grow on. Fights hard and briefly.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,YOUNG,,,,,"CORE_NE, CORE_SE",180
Largemouth Bass,largemouth_bass2,fish,COMMON,graphics/catchrelease/fish/largemouth_bass2.png,"Big, blunt, obliging, and the most logged specimen in the Sector by a wide margin. Two together are never the same size, and never wrong in the same direction twice.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,0.6,,,RIM_SE,180
Larva,larva,other,UNCOMMON,graphics/catchrelease/fish/larva.png,A thing between shapes that stopped between them. Reality let it stand on the grounds that larvae are permitted to be unfinished.,,8,TWITCHER,1.4,1.3,0.6,85,0.95,1.15,0.15,0.01,0.12,0.03,220,,,0.3,,BREACH_LAMP,,"CORE_SW, RIM_NW, RIM_SW",180
Waterpillar,larva_caterpillar,other,COMMON,graphics/catchrelease/fish/larva_caterpillar.png,"Segmented and ringed, moving in a wave with nothing available to push against. A pattern common on land, which raises the question of where it came from.",,16,TWITCHER,0.9,0.85,0.5,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,AVERAGE,,,BREACH_LAMP,,"CORE_SE, RIM_SE",180
Emmerling,larva_emmerling,other,UNCOMMON,graphics/catchrelease/fish/larva_emmerling.png,"Named by the crew that recorded the first, and the name held for want of a competing suggestion. No template has been found for it, in Domain records or since.",,8,TWITCHER,1.4,1.3,0.5,85,0.95,1.15,0.15,0.01,0.12,0.03,220,,YOUNG,,,BREACH_LAMP,,"RIM_NE, RIM_NW",180
Volturnian Lobster,lober_blue,crab,COMMON,graphics/catchrelease/fish/lober_blue.png,"Blue-shelled and heavy through the claw, near enough the true Askonian article to fetch the true price. Near enough is doing the work, and the trade knows it.",,12,SINKER,1.05,1.1,0.7,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,,POND,,CORE_SE,180
Rock Lobster,lober_default,crab,COMMON,graphics/catchrelease/fish/lober_default.png,"Grey, plain and gripping the line rather than being gripped by it. Good eating by the standards available out here, which is not a high bar.",,16,SINKER,0.9,0.85,0.7,45,1.05,0.95,8.0,0.8,0.8,0.3,60,,,,,POND,,RIM_NE,180
Longliner,longliner,"fish, special",LEGENDARY,graphics/catchrelease/fish/iron_hatchetfish.png,"At sensor range it returns a fishing boat: profile, mass and a working transponder. In the hold it is a third of that size and heavier than the readout at any of them. The transponder code has been landed before, in other systems, always the same.",,1,MIXED,1.7,1.9,0.5,195,0.6,2.7,600.0,150.0,7.0,3.0,9000,,,0.5,,BREACH_LAMP,,"CORE_NE, CORE_NW, CORE_SE, CORE_SW",90
Striped Mackerel,mackerel,fish,COMMON,graphics/catchrelease/fish/mackerel.png,"Barred, quick and schooling with nothing to school with. The bars keep moving after the fish has stopped.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,YOUNG,,,,,"RIM_NE, RIM_NW",180
Marlin,marlin,fish,UNCOMMON,graphics/catchrelease/fish/marlin.png,"Long bill, long body, and a run that costs equipment. Bringing one in is generally the end of the work for that watch, one way or the other.",,8,DARTER,1.4,1.3,1.5,85,0.95,1.15,420.0,60.0,5.5,2.0,220,,OLD,,,,,"CORE_NE, RIM_NE",180
The Miscount,miscount,fish,EPIC,graphics/catchrelease/fish/largemouth_bass2.png,"The deck tally, the hold tally and the manifest disagree by one, and the one is always in the hold. Selling them does not bring the numbers together.",,3,MIXED,1.5,1.6,0.6,140,0.85,1.4,10.0,2.0,1.2,0.5,2400,,,,0.6,,,"CORE_NE, CORE_SE",90
Mussel,mussel,mollusc,COMMON,graphics/catchrelease/fish/mussel.png,Clamped shut around an object that did not come through with it. Whatever it believes it is holding is not aboard.,,16,SINKER,0.9,0.85,0.2,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,POND,,CORE_NW,90
Nav Bobber,nav_bobber,other,COMMON,graphics/catchrelease/fish/pufferfish_blown.png,"A marker buoy at one-third scale, holding station where nothing anchors it. The registration it blinks is well-formed and issued by nobody, and it keeps perfect time.",,12,FLOATER,1.05,1.1,0.5,60,1.0,1.05,30.0,8.0,1.2,0.6,60,,,,0.4,,,"CORE_NE, RIM_NE",90
Deep Terror,octopus_red,mollusc,EPIC,graphics/catchrelease/fish/octopus_red.png,"Eight arms, deep red, and a great deal better coordinated than the crew watching it. It gets into things, and it has never once been found where it was left.",,3,LUNGER,1.5,1.6,0.45,140,0.85,1.4,45.0,6.0,2.0,0.8,2400,,OLD,,,POND,,"CORE_NW, CORE_SW",90
Yellow King,octopus_yellow,mollusc,EPIC,graphics/catchrelease/fish/octopus_yellow.png,"The markings resolve, given long enough, into a stage play set in yellow script. The first act is harmless. Crews who reach the second are relieved of duty and locked in the brig indefinitely.",,3,MIXED,1.5,1.6,0.45,140,0.85,1.4,45.0,6.0,2.0,0.8,2400,"YELLOW, ORANGE",,0.25,,,,"RIM_NE, RIM_SE",90
Pacu Pacu,pacu,fish,COMMON,graphics/catchrelease/fish/pacu.png,"Blunt, flat-toothed and disconcertingly human about the mouth. The teeth are the part of the pattern that came through cleanest.",,12,DARTER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"ORANGE, YELLOW",,,,,,"CORE_NW, CORE_SW",180
Perch,perch,fish,COMMON,graphics/catchrelease/fish/perch.png,"Striped, spiny and thoroughly ordinary. A relief, most nights.",,16,TWITCHER,0.9,0.85,1.0,45,1.05,0.95,1.2,0.1,0.35,0.12,60,,,,0.3,,,"CORE_SW, RIM_SW",180
Plume Remora,plume_remora,fish,COMMON,graphics/catchrelease/fish/shad.png,"Thin, blue-white, and always netted near the stern, keeping station off a drive nozzle the way a remora keeps station off a shark. No hull inspection has ever found one attached to anything.",,12,SMOOTH,1.05,1.1,0.6,60,1.0,1.05,9.0,2.0,1.1,0.5,60,,,,0.4,,,"RIM_NW, RIM_SW",90
Pomfret,pomfret,fish,COMMON,graphics/catchrelease/fish/pomfret.png,"Silver, deep-bodied and easy to catch. Holds its shape better than most. Often a new crew's first catch and generally the only thing they remember about it.",,12,DARTER,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,,,,0.2,,,"CORE_SE, RIM_SE",180
Hyperprawn,prawn,crab,COMMON,graphics/catchrelease/fish/prawn.png,"Translucent, thumb-length, and arriving by the hundred. The formations they hold while drifting cannot be looked at for long, and nobody has managed to say why.",,16,TWITCHER,0.9,0.85,0.7,45,1.05,0.95,0.15,0.01,0.12,0.03,60,"YELLOW, ORANGE",,,,,,"CORE_SE, CORE_SW",180
Pufferfish,pufferfish,fish,COMMON,graphics/catchrelease/fish/pufferfish.png,"Arrives slack and unimpressive, having concluded that the danger has passed. It has not.",,16,SMOOTH,0.9,0.85,1.0,45,1.05,0.95,1.2,0.1,0.35,0.12,60,,,,,,,CORE_SE,180
Ballooner,pufferfish_blown,fish,UNCOMMON,graphics/catchrelease/fish/pufferfish_blown.png,"A pufferfish with its mind made up - inflated, spined, and declining to come back down. Reality permits the volume and is plainly unhappy about the source.",,8,FLOATER,1.4,1.3,1.6,85,0.95,1.15,8.0,0.8,0.8,0.3,220,,,0.25,,,,"RIM_SE, RIM_SW",180
Deepwater Pufferfish,pufferfish_blue,fish,COMMON,graphics/catchrelease/fish/pufferfish_blue.png,"Blue and already inflated on the way through the rupture, as though something down there startled it. Nothing did, as far as the instruments can say.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"BLUE, WHITE",,,,,,"RIM_SE, RIM_SW",180
Silver Star,quacken_alien_flying_fish,fish,UNCOMMON,graphics/catchrelease/fish/quacken_alien_flying_fish.png,"Winged, silver, gliding on a medium with nothing to glide upon. It matches no record in any Domain database, and xeno-survey has declined to take an interest.",,8,DARTER,1.4,1.3,1.0,85,0.95,1.15,8.0,0.8,0.8,0.3,220,,OLD,,,,,"RIM_NE, RIM_SE",180
Gargantuan Waller,quacken_catfish,fish,UNCOMMON,graphics/catchrelease/fish/quacken_catfish.png,"A waller grown past all reason, heavy-headed and wrong about its own proportions. Takes two ratings and a winch, and reads as a catfish only until measured.",,8,SMOOTH,1.4,1.3,1.0,85,0.95,1.15,420.0,60.0,5.5,2.0,220,,OLD,,,,,"RIM_NW, RIM_SW",180
Nemo,quacken_clownfish,fish,UNCOMMON,graphics/catchrelease/fish/quacken_clownfish.png,"Banded orange and white and sealed in a bag of water nobody aboard put it in. The bag holds, and reads as standard plasteel on analysis.",,8,DARTER,1.4,1.3,1.0,85,0.95,1.15,1.2,0.1,0.35,0.12,220,,,,,POND,,CORE_NE,180
Curious Damsel,quacken_damselfish,fish,UNCOMMON,graphics/catchrelease/fish/quacken_damselfish.png,"Small, bright, and inclined to follow machinery rather than flee it. Curiosity is not on the list of things these are supposed to be capable of.",,8,TWITCHER,1.4,1.3,1.7,85,0.95,1.15,1.2,0.1,0.35,0.12,220,,,,,,"theme_derelict, theme_remnant","CORE_NE, CORE_SE, RIM_SE",180
Flarefin Koi,quacken_flarefin_koi,fish,COMMON,graphics/catchrelease/fish/quacken_flarefin_koi.png,"Fins like a flare going off, trailing light that illuminates nothing around it. Ornamental stock from a garden nobody has placed, on a world nobody has named.",,12,WEAVER,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,"BLUE, WHITE",,,,,,"RIM_NW, RIM_SW",180
Undersea Bee,quacken_mini_jellfish,mollusc,UNCOMMON,graphics/catchrelease/fish/quacken_mini_jellfish.png,"Fist-sized, barely coherent, and arriving in swarms or not at all. The swarm behaves as one animal, which no single one of them is built to be.",,8,TWITCHER,1.4,1.3,0.45,85,0.95,1.15,0.15,0.01,0.12,0.03,220,,,0.3,,BREACH_LAMP,,"CORE_NE, CORE_SE, RIM_NE, RIM_SE",90
